Date,Day,Origin,Group,Mark,Sex,Fish_ID,Notes,Tot_Dist_cm,Velocity_Mean_cm_s,High_Zone_Dur,Mid_Zone_Dur,Low_Zone_Dur,Freezing_Dur,Arena_Dur
14/02/2020,Friday,PB,Paternal,Bro._,male,a9908,,2352.96,5.35105,97.28,124.28,218.44,1.04,440
14/02/2020,Friday,PB,Paternal,Red._,male,a9941,,2294.09,5.43313,47.96,99.6,287.88,0.24,435.44
14/02/2020,Friday,PB,Paternal,Bro.Bro,female,a9910,,2207.65,5.02378,61.32,136.2,242.52,0.12,440.04
14/02/2020,Friday,PB,Paternal,Blu.Pur,male,a9975,,1455.13,3.36959,0,0,437.52,2.56,437.52
14/02/2020,Friday,PB,Paternal,Whi._,female,a9924,,2378.48,5.44674,39.96,104.72,295.32,4,440
14/02/2020,Friday,PB,Paternal,_.Ora,female,a9964,,716.883,1.67246,9.76,47.72,380.08,7.44,437.56
14/02/2020,Friday,PB,Paternal,Yel.Gre,male,a9901,,3388.07,7.7205,181.28,106.2,152.48,0.2,439.96
14/02/2020,Friday,WTA,Within_Treatment,Whi.Yel,male,a10157,,2752.65,6.38606,178.52,80.12,180.36,0.12,439
14/02/2020,Friday,WTA,Within_Treatment,Red.Bla,female,a10164,,1603.92,3.65858,28.12,48.6,363.08,9.24,439.8
14/02/2020,Friday,WTA,Within_Treatment,Blu.Blu,female,a10046,,1941.09,4.71872,72.64,75.8,283.2,15.76,431.64
14/02/2020,Friday,WTA,Within_Treatment,Gre.Blu,female,a10041,,2144.4,5.01451,15.92,115.88,305.32,0.2,437.12
14/02/2020,Friday,WTA,Within_Treatment,Yel._,male,a10095,,3360.11,7.64286,96.52,136.72,206.8,0.08,440.04
14/02/2020,Friday,WTA,Within_Treatment,Pin.Blu,male,a10090,,3804.31,8.68405,164.16,139.84,135.96,0,439.96
14/02/2020,Friday,WTA,Within_Treatment,Red.Pur,male,a10166,,387.082,0.880293,0,0,440.04,9.44,440.04
14/02/2020,Friday,WTA,Within_Treatment,Blu._,female,a10039,,2426.89,5.80486,84.2,82.64,265,0.2,431.84
14/02/2020,Friday,WTA,Within_Treatment,Gre.Ora,female,a10045,,1471.61,3.49054,11.8,20.96,402.8,0.44,435.56
14/02/2020,Friday,WTA,Within_Treatment,Ora.Red,male,a10064,,1909.75,4.34349,0,5.08,434.92,0.32,440
14/02/2020,Friday,WTA,Within_Treatment,Gre.Pin,female,a10036,,3117.9,7.11719,95.8,69.28,274.84,0.12,439.92
14/02/2020,Friday,WTA,Within_Treatment,Pin.Bla,male,a10092,,2121.59,4.85045,58.44,105,275.8,0.16,439.24
14/02/2020,Friday,WTA,Within_Treatment,Ora.Bro,male,a10070,,2617.43,5.95196,107.76,98.24,234.04,0.32,440.04
14/02/2020,Friday,WTA,Within_Treatment,Pin.Gre,female,a10087,,233.282,0.532558,0,0,439.32,171.56,439.32
14/02/2020,Friday,WTA,Within_Treatment,Red.Whi,female,a10172,,1343.53,3.07332,0,4.88,434.56,4.68,439.44
14/02/2020,Friday,WTA,Within_Treatment,Bro.Bro,male,a10201,,2893.81,6.58463,223.44,113,103.56,0.16,440
14/02/2020,Friday,WTA,Within_Treatment,Pur.Blu,female,a10079,,2406.2,5.62827,100.52,105.36,230.88,0.24,436.76
14/02/2020,Friday,WTA,Within_Treatment,Whi.Pur,female,a10158,,197.033,0.447964,0,0,440.04,316.48,440.04
14/02/2020,Friday,WTA,Within_Treatment,Blu.Yel,male,a10055,,2215.17,5.06998,83.44,99.16,256.84,0.32,439.44
14/02/2020,Friday,WTA,Within_Treatment,Pur._,male,a10077,,2000.26,4.55102,29.28,38.12,372.64,0.16,440.04
14/02/2020,Friday,MB,Maternal,Yel.Ora,female,a9778,,3035.82,7.01307,119.4,135.8,182.96,0.08,438.16
14/02/2020,Friday,MB,Maternal,Pin.Yel,female,a9854,,3081.85,7.20934,138.28,119.64,180.4,0,438.32
14/02/2020,Friday,MB,Maternal,Yel.Bla,female,a9777,,2164.73,5.13699,49.2,53.52,333.6,0.2,436.32
14/02/2020,Friday,MB,Maternal,Pur.Pin,male,a9824,,3769.75,8.85083,212.2,98.2,127.96,0.04,438.36
14/02/2020,Friday,MB,Maternal,Blu.Blu,male,a9843,,1252.83,2.84734,0,14.88,425.16,2.04,440.04
14/02/2020,Friday,MB,Maternal,Red.Pin,male,a9755,,2909.88,6.71904,165.84,113.92,159.24,0.04,439
14/02/2020,Friday,MB,Maternal,_.Blu,male,a9844,,2037.08,4.63267,89.12,101.92,249,6.76,440.04
14/02/2020,Friday,MB,Maternal,Bla.Gre,female,a9787,,1966.42,5.45017,196.8,112.36,106.2,0.2,415.36
