Arena,Trial,Water,Water_Time,Date,Day,Group,Tank,Mark,Sex,Fish_ID,Notes,tot_dist,high_dur,mid_dur,low_dur,freezing_dur,arena_dur,latency_high,freq_high
3,4,water1,4,14/02/2020,Friday2,WTB,Within Treatment,Pin.Red,male,a10089,,2492.86,115.16,87.04,236.24,0.24,438.44,27.16,31
4,4,water1,4,14/02/2020,Friday2,WTB,Within Treatment,Blu.Ora,female,a10059,,1452.88,244.92,95.24,92.4,0.2,432.56,0.2,29
5,4,water1,4,14/02/2020,Friday2,WTB,Within Treatment,_.Blu,female,a10040,,1908.85,26.4,88.64,316.32,0.12,431.36,225.48,6
6,4,water1,4,14/02/2020,Friday2,WTB,Within Treatment,Gre.Pur,male,a10043,,2608.79,57.56,77.16,304.32,0.24,439.04,34.2,15
1,5,water1,5,14/02/2020,Friday2,WTB,Within Treatment,Ora.Ora,female,a10060,,2109.31,150.16,88.4,127.8,0.04,366.36,0,188
2,5,water1,5,14/02/2020,Friday2,WTB,Within Treatment,Yel.Yel,female,a10097,,2337.73,158.32,71.12,210.32,0.36,439.76,0,16
3,5,water1,5,14/02/2020,Friday2,WTB,Within Treatment,Whi.Ora,female,a10160,,56.6011,0,0,440.04,330.32,440.04,,0
4,5,water1,5,14/02/2020,Friday2,WTB,Within Treatment,Ora.Pin,female,a10063,,876.676,396.08,27.92,7.68,28.88,431.68,0,46
5,5,water1,5,14/02/2020,Friday2,WTB,Within Treatment,Gre._,male,a10037,,1945.85,29.48,43.52,367.04,0.72,440.04,36.6,6
6,5,water1,5,14/02/2020,Friday2,WTB,Within Treatment,Whi.Pin,female,a10154,,1419.07,40.88,104.12,294.84,0.28,439.84,138.4,7
1,6,water1,6,14/02/2020,Friday2,WTB,Within Treatment,Pur.Pur,female,a10081,,1039.31,24.04,21,322.4,0.2,367.44,379.4,18
2,6,water1,6,14/02/2020,Friday2,WTB,Within Treatment,Whi.Bla,male,a10152,,1115.21,0,0,422.92,15.48,422.92,,0
3,6,water1,6,14/02/2020,Friday2,WTB,Within Treatment,Pur.Gre,male,a10074,,2101.37,86.16,69.52,282.72,0.08,438.4,204.24,17
4,6,water1,6,14/02/2020,Friday2,WTB,Within Treatment,Pur.Red,female,a10076,,1162.69,74.68,72.36,275.76,2.56,422.8,147.16,40
5,6,water1,6,14/02/2020,Friday2,WTB,Within Treatment,Pin.Bro,male,a10088,,1502.27,51.04,64.76,324.24,5.8,440.04,217.44,11
6,6,water1,7,14/02/2020,Friday2,WTB,Within Treatment,Whi.Bro,female,a10159,,1646.36,149.12,81.8,208.72,0.4,439.64,61.72,12
1,7,water1,7,14/02/2020,Friday2,WTB,Within Treatment,_.Yel,male,a10096,,2849.42,164.08,100.56,174.04,0.44,438.68,0,34
2,7,water1,7,14/02/2020,Friday2,WTB,Within Treatment,Gre.Bro,male,a10044,,2107.6,71,93,271.52,0.72,435.52,27.68,24
3,7,water1,7,14/02/2020,Friday2,WTB,Within Treatment,Red._,male,a10155,,936.371,0,0,307.76,2.28,307.76,,0
4,7,water1,7,14/02/2020,Friday2,WTB,Within Treatment,Red.Bro,male,a10169,,3055.31,76.72,144.08,219.2,0.04,440,31.68,27
5,7,water2,1,14/02/2020,Friday2,MA,Maternal,Bro.Yel,female,a9794,,1247.97,0,0,440.04,0.36,440.04,,0
6,7,water2,1,14/02/2020,Friday2,MA,Maternal,Gre.Whi,female,a9809,,1607.21,326,43.04,71,0.48,440.04,67.24,9
1,8,water2,1,14/02/2020,Friday2,MA,Maternal,_.Yel,male,a9764,,2208.4,31.56,120.6,275.6,0.08,427.76,135.68,21
2,8,water2,1,14/02/2020,Friday2,MA,Maternal,Red.Yel,female,a9761,,2760.16,182.64,112.6,143.92,0.12,439.16,13.76,37
3,8,water2,1,14/02/2020,Friday2,MA,Maternal,Whi.Ora,female,a9839,,173.886,0,0,267.08,85.56,267.08,,0
4,8,water2,1,14/02/2020,Friday2,MA,Maternal,Yel._,male,a9763,,876.528,0,0,397.04,7.84,397.04,,0
5,8,water2,1,14/02/2020,Friday2,MA,Maternal,Red.Gre,female,a9758,,1563.07,47.6,45.88,313.88,0.64,407.36,66.16,45
6,8,water2,1,14/02/2020,Friday2,MA,Maternal,Red.Red,male,a9754,,2675.59,41.16,102.64,294.48,0.12,438.28,233.44,13
1,9,water2,2,14/02/2020,Friday2,MA,Maternal,Bro.Pin,male,a9793,,2212.29,25.8,80,334.2,0.12,440,56.96,11
2,9,water2,2,14/02/2020,Friday2,MA,Maternal,Bro.Gre,female,a9796,,2342.6,88.76,68.6,282.48,0.2,439.84,82.72,16
3,9,water2,2,14/02/2020,Friday2,MA,Maternal,_.Bla,male,a9800,,1941.75,0,0,439.12,0.4,439.12,,0
4,9,water2,2,14/02/2020,Friday2,MA,Maternal,Red.Blu,female,a9759,,65.997,0,0,331.6,185.12,331.6,,0
5,9,water2,2,14/02/2020,Friday2,MA,Maternal,Pin.Ora,male,a9858,,2409.53,42.72,79.84,317.2,0.4,439.76,192.32,15
6,9,water2,2,14/02/2020,Friday2,MA,Maternal,Gre.Gre,female,a9804,,1731.29,0,0,440,0.64,440,,0
1,10,water2,3,14/02/2020,Friday2,MA,Maternal,Red.Bro,male,a9760,,2679.69,0,0,438.76,0.24,438.76,,0
2,10,water2,3,14/02/2020,Friday2,MA,Maternal,Blu.Yel,female,a9845,,2347.97,129,123.16,187.32,0.24,439.48,79.72,18
3,10,water2,3,14/02/2020,Friday2,MA,Maternal,Red.Pur,female,a9762,,876.4,0,0,300.04,3.4,300.04,,0
4,10,water2,3,14/02/2020,Friday2,MA,Maternal,Red._,female,a9848,,918.857,6.6,12.28,421.16,1.36,440.04,64.88,1
5,10,water2,3,14/02/2020,Friday2,MA,Maternal,Gre.Blu,male,a9808,,535.878,0,0,434.16,19.56,434.16,,0
6,10,water2,3,14/02/2020,Friday2,MA,Maternal,_.Gre,male,a9803,,2905.13,77.4,91.6,263.56,0.08,432.56,176.96,40
1,11,water2,4,14/02/2020,Friday2,WCB,Within Control,Ora.Bla,female,a9608,,1711.99,26.2,87.04,315.88,0.16,429.12,278.28,16
2,11,water2,4,14/02/2020,Friday2,WCB,Within Control,Blu.Ora,female,a9583,,626.735,0,0,401.68,122.96,401.68,,0
3,11,water2,4,14/02/2020,Friday2,WCB,Within Control,_.Pur,female,a9605,,834.965,0,0,424.64,7.28,424.64,,0
4,11,water2,4,14/02/2020,Friday2,WCB,Within Control,Pur.Blu,male,a9687,,3026.77,131.92,98.2,201.4,0.24,431.52,67.28,64
5,11,water2,4,14/02/2020,Friday2,WCB,Within Control,Bro.Bla,female,a9700,,2190.19,78,60.92,298.52,0.68,437.44,190.52,23
6,11,water2,4,14/02/2020,Friday2,WCB,Within Control,Blu.Red,male,a9582,,2434.32,51.64,65.32,320.72,0.36,437.68,119.48,22
1,12,water2,5,14/02/2020,Friday2,WCB,Within Control,Yel.Yel,female,a9613,,1006.32,0,0,424.2,79.88,424.2,,0
2,12,water2,5,14/02/2020,Friday2,WCB,Within Control,Pin.Whi,male,a9590,,769.928,0,0,440.04,122.48,440.04,,0
3,12,water2,5,14/02/2020,Friday2,WCB,Within Control,Bro.Gre,female,a9704,,960.643,12.2,57.08,370.68,193.32,439.96,333.92,7
4,12,water2,5,14/02/2020,Friday2,WCB,Within Control,Ora.Gre,male,a9612,,248.65,0,0,440.04,290,440.04,,0
5,12,water2,5,14/02/2020,Friday2,WCB,Within Control,Blu.Blu,male,a9575,,1860.26,20.92,70.24,348.88,10.44,440.04,319.08,7
6,12,water2,5,14/02/2020,Friday2,WCB,Within Control,Blu.Bro,female,a9579,,1743.47,62.36,54.44,323.24,4.88,440.04,150.72,10
1,13,water2,6,14/02/2020,Friday2,WCB,Within Control,Ora.Bro,male,a9610,,1720.74,0,0,426,0.56,426,,0
2,13,water2,6,14/02/2020,Friday2,WCB,Within Control,Blu.Gre,female,a9578,,1918.3,66.08,34.56,339.32,0.44,439.96,345.8,8
3,13,water2,6,14/02/2020,Friday2,WCB,Within Control,Blu.Pur,male,a9581,,136.378,0,0,440.04,224.88,440.04,,0
4,13,water2,6,14/02/2020,Friday2,WCB,Within Control,Red.Bro,male,a9677,,65.4883,0,0,440.04,305.4,440.04,,0
5,13,water2,6,14/02/2020,Friday2,WCB,Within Control,Blu.Whi,female,a9580,,1416.19,39.48,31.76,368.64,40.68,439.88,335.6,6
6,13,water2,6,14/02/2020,Friday2,WCB,Within Control,Pur.Pin,male,a9686,,1536.17,0,0,438.48,0.8,438.48,,0
1,14,water2,7,14/02/2020,Friday2,WCB,Within Control,Whi.Ora,female,a9596,,3183.97,183,191.96,60.84,0.04,435.8,63.64,84
2,14,water2,7,14/02/2020,Friday2,WCB,Within Control,Pin.Yel,male,a9587,,2968.73,61.44,106.6,271.88,0.08,439.92,147.52,24
3,14,water3,1,14/02/2020,Friday2,PB,Paternal,Red.Bla,male,a9949,,2360.55,124.68,98.04,216.88,0.4,439.6,160.08,33
4,14,water3,1,14/02/2020,Friday2,PB,Paternal,Bla.Whi,female,a9923,,3243.84,293.24,85.72,59.88,0.16,438.84,11.52,51
5,14,water3,1,14/02/2020,Friday2,PB,Paternal,Yel.Pur,female,a9899,,627.698,0,0,429.08,81.64,429.08,,0
6,14,water3,1,14/02/2020,Friday2,PB,Paternal,_.Pur,male,a9981,,2759.06,134.44,108.8,196.48,0.28,439.72,10.52,25
1,15,water3,2,14/02/2020,Friday2,PB,Paternal,Whi.Ora,female,a9927,,666.252,0,0,439.76,3.64,439.76,,0
2,15,water3,2,14/02/2020,Friday2,PB,Paternal,Bro.Blu,male,a9937,,910.84,0,0,440.04,52.8,440.04,,0
3,15,water3,2,14/02/2020,Friday2,PB,Paternal,Pin.Ora,female,a9953,,1173.85,0,15.24,424.56,0.6,439.8,,0
4,15,water3,2,14/02/2020,Friday2,PB,Paternal,Red.Yel,male,a9947,,733.168,0,0,440.04,17.44,440.04,,0
5,15,water3,2,14/02/2020,Friday2,PB,Paternal,Pin.Bro,female,a9955,,1149.17,16.16,78.16,345.24,8.92,439.56,158,4
6,15,water3,2,14/02/2020,Friday2,PB,Paternal,_.Red,female,a9903,,417.083,0,0,437.92,87.6,437.92,,0
1,16,water3,3,14/02/2020,Friday2,PB,Paternal,Blu.Gre,male,a9983,,1058.58,0,0,436.56,46.08,436.56,,0
2,16,water3,3,14/02/2020,Friday2,PB,Paternal,Blu.Blu,male,a9973,,2343.37,129.88,79.16,230.2,0.16,439.24,96.2,19
3,16,water3,3,14/02/2020,Friday2,PB,Paternal,Pin.Gre,female,a9952,,1877.62,75.36,100.76,263.92,1.6,440.04,70.76,19
4,16,water3,3,14/02/2020,Friday2,PB,Paternal,Bro._,male,a9908,,2352.96,97.28,124.28,218.44,1.04,440,128,30
5,16,water3,3,14/02/2020,Friday2,PB,Paternal,Red._,male,a9941,,2294.09,47.96,99.6,287.88,0.24,435.44,30.16,17
6,16,water3,3,14/02/2020,Friday2,PB,Paternal,Bro.Bro,female,a9910,,2207.65,61.32,136.2,242.52,0.12,440.04,124.88,24
1,17,water3,4,14/02/2020,Friday2,PB,Paternal,Blu.Pur,male,a9975,,1455.13,0,0,437.52,2.56,437.52,,0
2,17,water3,4,14/02/2020,Friday2,PB,Paternal,Whi._,female,a9924,,2378.48,39.96,104.72,295.32,4,440,143.76,14
3,17,water3,4,14/02/2020,Friday2,PB,Paternal,_.Ora,female,a9964,,716.883,9.76,47.72,380.08,7.44,437.56,341.52,4
4,17,water3,4,14/02/2020,Friday2,PB,Paternal,Yel.Gre,male,a9901,,3388.07,181.28,106.2,152.48,0.2,439.96,3.04,40
5,17,water3,4,14/02/2020,Friday2,WTA,Within Treatment,Whi.Yel,male,a10157,,2752.65,178.52,80.12,180.36,0.12,439,14.12,35
6,17,water3,4,14/02/2020,Friday2,WTA,Within Treatment,Red.Bla,female,a10164,,1603.92,28.12,48.6,363.08,9.24,439.8,355.16,7
1,18,water3,5,14/02/2020,Friday2,WTA,Within Treatment,Blu.Blu,female,a10046,,1941.09,72.64,75.8,283.2,15.76,431.64,216.36,22
2,18,water3,5,14/02/2020,Friday2,WTA,Within Treatment,Gre.Blu,female,a10041,,2144.4,15.92,115.88,305.32,0.2,437.12,363.44,7
3,18,water3,5,14/02/2020,Friday2,WTA,Within Treatment,Yel._,male,a10095,,3360.11,96.52,136.72,206.8,0.08,440.04,97.52,33
4,18,water3,5,14/02/2020,Friday2,WTA,Within Treatment,Pin.Blu,male,a10090,,3804.31,164.16,139.84,135.96,0,439.96,65.24,56
5,18,water3,5,14/02/2020,Friday2,WTA,Within Treatment,Red.Pur,male,a10166,,387.082,0,0,440.04,9.44,440.04,,0
6,18,water3,5,14/02/2020,Friday2,WTA,Within Treatment,Blu._,female,a10039,,2426.89,84.2,82.64,265,0.2,431.84,22.56,26
1,19,water3,6,14/02/2020,Friday2,WTA,Within Treatment,Gre.Ora,female,a10045,,1471.61,11.8,20.96,402.8,0.44,435.56,428.12,3
2,19,water3,6,14/02/2020,Friday2,WTA,Within Treatment,Ora.Red,male,a10064,,1909.75,0,5.08,434.92,0.32,440,,0
3,19,water3,6,14/02/2020,Friday2,WTA,Within Treatment,Gre.Pin,female,a10036,,3117.9,95.8,69.28,274.84,0.12,439.92,59.48,20
4,19,water3,6,14/02/2020,Friday2,WTA,Within Treatment,Pin.Bla,male,a10092,,2121.59,58.44,105,275.8,0.16,439.24,138.6,12
5,19,water3,6,14/02/2020,Friday2,WTA,Within Treatment,Ora.Bro,male,a10070,,2617.43,107.76,98.24,234.04,0.32,440.04,117.6,18
6,19,water3,6,14/02/2020,Friday2,WTA,Within Treatment,Pin.Gre,female,a10087,,233.282,0,0,439.32,171.56,439.32,,0
1,20,water3,7,14/02/2020,Friday2,WTA,Within Treatment,Red.Whi,female,a10172,,1343.53,0,4.88,434.56,4.68,439.44,,0
2,20,water3,7,14/02/2020,Friday2,WTA,Within Treatment,Bro.Bro,male,a10201,,2893.81,223.44,113,103.56,0.16,440,15.52,39
3,20,water3,7,14/02/2020,Friday2,WTA,Within Treatment,Pur.Blu,female,a10079,,2406.2,100.52,105.36,230.88,0.24,436.76,124.56,25
4,20,water3,7,14/02/2020,Friday2,WTA,Within Treatment,Whi.Pur,female,a10158,,197.033,0,0,440.04,316.48,440.04,,0
5,20,water3,7,14/02/2020,Friday2,WTA,Within Treatment,Blu.Yel,male,a10055,,2215.17,83.44,99.16,256.84,0.32,439.44,40.24,14
6,20,water3,7,14/02/2020,Friday2,WTA,Within Treatment,Pur._,male,a10077,,2000.26,29.28,38.12,372.64,0.16,440.04,171.68,7
1,21,water4,1,14/02/2020,Friday2,MB,Maternal,Yel.Ora,female,a9778,,3035.82,119.4,135.8,182.96,0.08,438.16,0,32
2,21,water4,1,14/02/2020,Friday2,MB,Maternal,Pin.Yel,female,a9854,,3081.85,138.28,119.64,180.4,0,438.32,7.92,47
3,21,water4,1,14/02/2020,Friday2,MB,Maternal,Yel.Bla,female,a9777,,2164.73,49.2,53.52,333.6,0.2,436.32,137.72,12
4,21,water4,1,14/02/2020,Friday2,MB,Maternal,Pur.Pin,male,a9824,,3769.75,212.2,98.2,127.96,0.04,438.36,11.32,53
5,21,water4,1,14/02/2020,Friday2,MB,Maternal,Blu.Blu,male,a9843,,1252.83,0,14.88,425.16,2.04,440.04,,0
6,21,water4,1,14/02/2020,Friday2,MB,Maternal,Red.Pin,male,a9755,,2909.88,165.84,113.92,159.24,0.04,439,8.92,36
1,22,water4,2,14/02/2020,Friday2,MB,Maternal,_.Blu,male,a9844,,2037.08,89.12,101.92,249,6.76,440.04,65.4,18
2,22,water4,2,14/02/2020,Friday2,MB,Maternal,Bla.Gre,female,a9787,,1966.42,196.8,112.36,106.2,0.2,415.36,68.36,91
3,22,water4,2,14/02/2020,Friday2,MB,Maternal,Red.Bla,male,a9756,,3394.4,89.84,126.16,224.04,0.08,440.04,69.32,32
4,22,water4,2,14/02/2020,Friday2,MB,Maternal,_._,female,a9774,,2358.56,92.12,62.4,280.68,0.16,435.2,0,33
5,22,water4,2,14/02/2020,Friday2,MB,Maternal,Gre.Ora,female,a9868,,2823.33,101.8,69.4,268.04,0.04,439.24,0,26
6,22,water4,2,14/02/2020,Friday2,MB,Maternal,Pin.Whi,female,a9862,,2166.15,30.48,24.8,383.6,7.88,438.88,47.64,12
1,23,water4,3,14/02/2020,Friday2,MB,Maternal,Gre.Pur,female,a9867,,1784.77,31.32,81.24,318.88,2.16,431.44,252.68,15
2,23,water4,3,14/02/2020,Friday2,MB,Maternal,_.Red,male,a9849,,1712.93,20.84,50.12,369.08,0.8,440.04,314.24,3
3,23,water4,3,14/02/2020,Friday2,MB,Maternal,Ora.Pur,male,a9821,,2079.29,122.92,173.96,142.84,0.08,439.72,48.12,20
4,23,water4,3,14/02/2020,Friday2,MB,Maternal,_.Ora,female,a10198,,2794.34,242.2,94.52,103.24,0.04,439.96,0,32
5,23,water4,3,14/02/2020,Friday2,MB,Maternal,Red._,male,a9752,,2879.32,35.2,70.64,333.24,0.04,439.08,141.4,6
6,23,water4,3,14/02/2020,Friday2,MB,Maternal,Yel.Yel,male,a9765,,2909.99,54.04,117.6,265.84,0.12,437.48,39.6,21
1,24,water4,4,14/02/2020,Friday2,MB,Maternal,Blu.Gre,male,a9846,,3344.59,111.48,94.96,233.6,0.08,440.04,41.12,32
2,24,water4,4,14/02/2020,Friday2,MB,Maternal,Ora.Yel,male,a9813,,2945.24,111.92,67.96,257.52,0.16,437.4,35.92,34
3,24,water4,4,14/02/2020,Friday2,WCA,Within Control,Gre.Blu,female,a9553,,2739.14,125.96,118.2,195.88,0.16,440.04,43.88,21
4,24,water4,4,14/02/2020,Friday2,WCA,Within Control,Ora.Blu,female,a9607,,2588.51,135.52,169.2,127.84,0.12,432.56,37.96,60
5,24,water4,4,14/02/2020,Friday2,WCA,Within Control,Red.Bla,male,a9676,,221.84,0,0,439.48,146.28,439.48,,0
6,24,water4,4,14/02/2020,Friday2,WCA,Within Control,Gre.Bla,male,a9554,,2347.63,66.68,120.84,252.52,0.24,440.04,158.84,12
1,25,water4,5,14/02/2020,Friday2,WCA,Within Control,Red.Pin,female,a9673,,2988.12,85.04,129.36,223.04,0.08,437.44,31.8,35
2,25,water4,5,14/02/2020,Friday2,WCA,Within Control,Ora.Ora,male,a9706,,2465.89,143.84,93.56,193.76,0.2,431.16,25.76,42
3,25,water4,5,14/02/2020,Friday2,WCA,Within Control,Red.Gre,male,a9680,,2195.11,103.92,65.8,270.16,0.4,439.88,71.4,13
4,25,water4,5,14/02/2020,Friday2,WCA,Within Control,Red.Whi,female,a9679,,837.469,0,0,439.64,76.04,439.64,,0
5,25,water4,5,14/02/2020,Friday2,WCA,Within Control,Red.Yel,female,a9678,,2518.27,156.76,72.52,209.88,0.2,439.16,101.72,22
6,25,water4,5,14/02/2020,Friday2,WCA,Within Control,Pin.Gre,male,a9588,,2317.82,51.2,90.6,298.16,0.16,439.96,163.52,16
1,26,water4,6,14/02/2020,Friday2,WCA,Within Control,Pur.Red,female,a9566,,671.333,75.48,33.72,330.84,49,440.04,74.88,2
2,26,water4,6,14/02/2020,Friday2,WCA,Within Control,Ora.Red,male,a9606,,2967.82,198.8,81.08,159.8,0.16,439.68,0,20
3,26,water4,6,14/02/2020,Friday2,WCA,Within Control,Gre.Bro,male,a9558,,2348.22,274.32,84.64,81.04,0.12,440,0,27
4,26,water4,6,14/02/2020,Friday2,WCA,Within Control,Red.Ora,male,a9681,,1721.69,0,0,440.04,0.24,440.04,,0
5,26,water4,6,14/02/2020,Friday2,WCA,Within Control,Whi.Bla,female,a9598,,2525.21,77.48,82.64,269.4,0.2,429.52,56.24,38
6,26,water4,6,14/02/2020,Friday2,WCA,Within Control,Whi.Yel,female,a9599,,967.021,0,0,439.48,1.4,439.48,,0
1,27,water4,7,14/02/2020,Friday2,WCA,Within Control,Gre.Pur,female,a9556,,3175.4,143.84,155.92,140.28,0.04,440.04,7,47
2,27,water4,7,14/02/2020,Friday2,WCA,Within Control,Pur._,male,a9562,,692.42,0,0,440.04,143.16,440.04,,0
3,27,water4,7,14/02/2020,Friday2,WCA,Within Control,Ora.Gre,female,a9603,,2245.24,73.24,94.64,271.92,0.2,439.8,123.92,17
4,27,water4,7,14/02/2020,Friday2,WCA,Within Control,Ora.Whi,male,a9611,,2778.12,151.08,112.28,176.52,0.2,439.88,129.84,28
1,1,water1,1,2/03/2020,Monday3,WCB,Within Control,Blu.Bro,female,a9579,,1305.95,12.64,11.2,416.24,1.28,440.08,275.04,3
2,1,water1,1,2/03/2020,Monday3,WCB,Within Control,Blu.Gre,female,a9578,,1505.65,61.92,63.36,314.8,0.32,440.08,184.4,8
3,1,water1,1,2/03/2020,Monday3,WCB,Within Control,Bro.Bla,female,a9700,,1857.7,150.48,122.32,167.28,0.48,440.08,83.68,25
4,1,water1,1,2/03/2020,Monday3,WCB,Within Control,Ora.Gre,male,a9612,,277.191,0,0,440.08,281.92,440.08,,0
5,1,water1,1,2/03/2020,Monday3,WCB,Within Control,Red.Bro,male,a9677,,363.707,0,0,440.08,202.96,440.08,,0
6,1,water1,1,2/03/2020,Monday3,WCB,Within Control,Blu.Pur,male,a9581,,1190.75,124.8,40.88,274.4,4.24,440.08,263.36,12
1,2,water1,2,2/03/2020,Monday3,WCB,Within Control,Pin.Yel,male,a9587,,2022.54,86.56,76.24,277.28,0.4,440.08,222.4,14
2,2,water1,2,2/03/2020,Monday3,WCB,Within Control,Blu.Blu,male,a9575,,2133.93,11.2,144.16,284.72,0.48,440.08,225.2,5
3,2,water1,2,2/03/2020,Monday3,WCB,Within Control,_.Pur,female,a9605,,1177.8,36.48,65.2,338.4,0.16,440.08,356,3
4,2,water1,2,2/03/2020,Monday3,WCB,Within Control,Pin.Whi,male,a9590,,48.4961,0,0.56,439.52,394.08,440.08,,0
5,2,water1,2,2/03/2020,Monday3,WCB,Within Control,Ora.Bro,male,a9610,,1289.13,0,0,440.08,0.64,440.08,,0
6,2,water1,2,2/03/2020,Monday3,WCB,Within Control,Blu.Whi,female,a9580,,1098.81,2.32,30.64,407.12,13.84,440.08,335.76,3
1,3,water1,3,2/03/2020,Monday3,WCB,Within Control,Whi.Ora,female,a9596,,1921.7,52.48,77.28,310.32,0,440.08,302.72,11
2,3,water1,3,2/03/2020,Monday3,WCB,Within Control,Blu.Ora,female,a9583,,798.265,17.6,26.56,395.92,153.6,440.08,391.84,4
3,3,water1,3,2/03/2020,Monday3,WCB,Within Control,Ora.Bla,female,a9608,,1430.99,288.08,97.76,54.24,0.48,440.08,0,14
4,3,water1,3,2/03/2020,Monday3,WCB,Within Control,Pur.Pin,male,a9686,,1086.23,0,0,440.08,12.96,440.08,,0
5,3,water1,3,2/03/2020,Monday3,WCB,Within Control,Bro.Gre,female,a9704,,1981.84,73.44,101.04,265.6,0.72,440.08,134.72,15
6,3,water1,3,2/03/2020,Monday3,WCB,Within Control,Yel.Yel,female,a9613,,1014.11,0,0,440.08,1.84,440.08,,0
1,4,water1,4,2/03/2020,Monday3,WCB,Within Control,Blu.Red,male,a9582,,2322.16,93.84,65.04,281.2,12.48,440.08,39.2,23
2,4,water1,4,2/03/2020,Monday3,WCB,Within Control,Pur.Blu,male,a9687,,2458.29,133.12,93.28,213.68,1.2,440.08,100.56,24
3,4,water1,4,2/03/2020,Monday3,MA,Maternal,Bro.Gre,female,a9796,,671.358,17.92,22,400.16,79.36,440.08,384.56,3
4,4,water1,4,2/03/2020,Monday3,MA,Maternal,Red.Yel,female,a9761,,2109.92,170.88,103.44,165.76,0.08,440.08,94.24,21
5,4,water1,4,2/03/2020,Monday3,MA,Maternal,Red.Blu,female,a9759,,7.03247,0,0,440.08,440,440.08,,0
6,4,water1,4,2/03/2020,Monday3,MA,Maternal,_.Yel,male,a9764,,1217.86,0,0,440.08,1.12,440.08,,0
1,5,water1,5,2/03/2020,Monday3,MA,Maternal,Gre.Gre,female,a9804,,1467.34,0,0,440.08,0.24,440.08,,0
2,5,water1,5,2/03/2020,Monday3,MA,Maternal,Red.Red,male,a9754,,1616.7,17.12,88.8,334.16,0.24,440.08,224.72,5
3,5,water1,5,2/03/2020,Monday3,MA,Maternal,Bro.Yel,female,a9794,,639.614,0,0,440.08,4.08,440.08,,0
4,5,water1,5,2/03/2020,Monday3,MA,Maternal,Red.Bro,male,a9760,,1745.63,10.24,47.44,382.4,0.24,440.08,375.76,3
5,5,water1,5,2/03/2020,Monday3,MA,Maternal,Red.Gre,female,a9758,,1761.89,98.64,101.28,240.16,0.32,440.08,74.64,15
6,5,water1,5,2/03/2020,Monday3,MA,Maternal,Gre.Blu,male,a9808,,7.01374,0,0,440.08,440,440.08,,0
1,6,water1,6,2/03/2020,Monday3,MA,Maternal,Whi.Ora,female,a9839,,241.115,0,0,440.08,230.24,440.08,,0
2,6,water1,6,2/03/2020,Monday3,MA,Maternal,Gre.Whi,female,a9809,,1840.99,119.36,54.4,266.32,1.44,440.08,104.72,14
3,6,water1,6,2/03/2020,Monday3,MA,Maternal,_.Bla,male,a9800,,441.771,0,0,440.08,158.16,440.08,,0
4,6,water1,6,2/03/2020,Monday3,MA,Maternal,Red.Pur,female,a9762,,1383.77,0,0,440.08,0.96,440.08,,0
5,6,water1,6,2/03/2020,Monday3,MA,Maternal,Blu.Yel,female,a9845,,9.02942,0,0,440.08,440,440.08,,0
6,6,water1,6,2/03/2020,Monday3,MA,Maternal,Red._,female,a9848,,945.819,23.52,49.76,366.8,26.8,440.08,320.4,3
1,7,water1,7,2/03/2020,Monday3,MA,Maternal,Bro.Pin,male,a9793,,13.8289,0,0,440.08,435.68,440.08,,0
2,7,water1,7,2/03/2020,Monday3,MA,Maternal,_.Gre,male,a9803,,1901.75,37.68,116.72,285.68,16.88,440.08,242,13
3,7,water1,7,2/03/2020,Monday3,MA,Maternal,Pin.Ora,male,a9858,,687.686,0,0,440.08,111.04,440.08,,0
4,7,water1,7,2/03/2020,Monday3,MA,Maternal,Yel._,male,a9763,,27.2418,0,0,440.08,414.64,440.08,,0
1,8,water2,1,2/03/2020,Monday3,WTB,Within Treatment,Gre.Pur,male,a10043,,1871.71,83.6,79.84,276.64,0.4,440.08,121.2,9
2,8,water2,1,2/03/2020,Monday3,WTB,Within Treatment,Ora.Ora,female,a10060,,2731.25,198.16,108.08,133.84,0.08,440.08,0,40
3,8,water2,1,2/03/2020,Monday3,WTB,Within Treatment,_.Blu,female,a10040,,1832.56,40.16,129.76,270.16,0.08,440.08,169.2,8
4,8,water2,1,2/03/2020,Monday3,WTB,Within Treatment,Whi.Bro,female,a10159,,2094.86,167.52,48.72,223.84,0.72,440.08,12.72,15
5,8,water2,1,2/03/2020,Monday3,WTB,Within Treatment,Yel.Yel,female,a10097,,2102.91,127.12,66.88,246.08,0.4,440.08,114.24,15
6,8,water2,1,2/03/2020,Monday3,WTB,Within Treatment,Pin.Bro,male,a10088,,1920.22,88.56,99.44,252.08,2.32,440.08,64.08,18
1,9,water2,2,2/03/2020,Monday3,WTB,Within Treatment,Whi.Bla,male,a10152,,1347.47,0,0,440.08,0.88,440.08,,0
2,9,water2,2,2/03/2020,Monday3,WTB,Within Treatment,Pur.Pur,female,a10081,,1905.09,57.76,77.68,304.64,0.32,440.08,73.52,10
3,9,water2,2,2/03/2020,Monday3,WTB,Within Treatment,Whi.Pin,female,a10154,,1611.77,69.68,105.36,265.04,0.72,440.08,235.04,9
4,9,water2,2,2/03/2020,Monday3,WTB,Within Treatment,Ora.Pin,female,a10063,,1524.63,305.92,55.2,78.96,0.24,440.08,0,4
5,9,water2,2,2/03/2020,Monday3,WTB,Within Treatment,Pin.Red,male,a10089,,1668.31,50.16,77.36,312.56,1.44,440.08,103.84,12
