Arena,Trial,Water,Water_Time,Date,Day,Group,Tank,Mark,Sex,Fish_ID,Notes,tot_dist,high_dur,mid_dur,low_dur,freezing_dur,arena_dur,latency_high,freq_high
5,7,water2,1,7/02/2020,Friday1,WTA,Within Treatment,Blu.Blu,female,a10046,Forgot to put labels,1317.66,0,0,440.08,7.52,440.08,,0
6,7,water2,1,7/02/2020,Friday1,WTA,Within Treatment,Gre.Blu,female,a10041,Forgot to put labels,1580.2,41.84,75.44,322.8,0.24,440.08,301.6,7
1,8,water2,1,7/02/2020,Friday1,WTA,Within Treatment,Ora.Red,male,a10064,NA,1744.94,0,0,439.92,0.32,439.92,,0
2,8,water2,1,7/02/2020,Friday1,WTA,Within Treatment,Whi.Pur,female,a10158,NA,881.621,0,0,440.08,4.16,440.08,,0
3,8,water2,1,7/02/2020,Friday1,WTA,Within Treatment,Ora.Bro,male,a10070,NA,1957.61,95.68,104.56,239.84,0.88,440.08,143.36,20
4,8,water2,1,7/02/2020,Friday1,WTA,Within Treatment,Pin.Bla,male,a10092,NA,1997.9,54.4,102.16,283.52,1.2,440.08,0,16
5,8,water2,1,7/02/2020,Friday1,WTA,Within Treatment,Gre.Pin,female,a10036,NA,2044.26,95.28,115.68,229.12,0.08,440.08,97.92,17
6,8,water2,1,7/02/2020,Friday1,WTA,Within Treatment,Red.Bla,female,a10164,NA,1665.84,40.8,70.24,329.04,0.4,440.08,294.64,15
1,9,water2,2,7/02/2020,Friday1,WTA,Within Treatment,Red.Pur,male,a10166,NA,832.425,0,0,440.08,2.48,440.08,,0
2,9,water2,2,7/02/2020,Friday1,WTA,Within Treatment,Whi.Yel,male,a10157,NA,1389.37,4.72,24,411.36,0.8,440.08,325.6,1
3,9,water2,2,7/02/2020,Friday1,WTA,Within Treatment,Bro.Bro,male,a10201,NA,2253.73,216.4,88.32,135.36,0.16,440.08,63.28,24
4,9,water2,2,7/02/2020,Friday1,WTA,Within Treatment,Blu.Yel,male,a10055,NA,677.285,0,0,440.08,145.52,440.08,,0
5,9,water2,2,7/02/2020,Friday1,WTA,Within Treatment,Red.Whi,female,a10172,NA,636.035,0,0,440.08,83.6,440.08,,0
6,9,water2,2,7/02/2020,Friday1,WTA,Within Treatment,Blu._,female,a10039,NA,1870.97,24.32,70,345.76,0,440.08,152.64,8
1,10,water2,3,7/02/2020,Friday1,WTA,Within Treatment,Yel._,male,a10095,NA,2561.71,92.8,122.08,225.2,0.48,440.08,84.72,25
2,10,water2,3,7/02/2020,Friday1,WTA,Within Treatment,Pur.Blu,female,a10079,NA,2080.7,115.44,167.76,156.88,0.08,440.08,67.6,20
3,10,water2,3,7/02/2020,Friday1,WTA,Within Treatment,Pin.Gre,female,a10087,NA,855.862,98.08,39.92,302.08,52.88,440.08,0,3
