Arena,Date,Day,Group,Mark,Sex,Fish_ID,Notes,tot_dist,high_dur,mid_dur,low_dur,freezing_dur,arena_dur,latency_high,freq_high
2,,,MB,Pin.Whi,female,a9862,,2441.2,98.08,65.76,276.24,0.48,440.08,0,18
3,,,MB,Red._,male,a9752,,1542.01,30.56,111.2,298.32,0.72,440.08,125.04,7
4,,,MB,Pin.Yel,female,a9854,,2962.48,248,101.44,90.64,0,440.08,0,42
5,,,MB,Ora.Pur,male,a9821,,2107.24,141.44,104.32,194.32,0,440.08,141.28,23
6,,,MB,Yel.Bla,female,a9777,,1943.15,24.8,74.64,340.64,0.48,440.08,267.84,9
1,,,MB,Yel.Yel,male,a9765,,1777.06,103.36,103.76,232.96,0.4,440.08,129.76,15
2,,,MB,_.Red,male,a9849,,1385.42,15.2,51.2,373.68,2.56,440.08,303.04,5
3,,,MB,_._,female,a9774,,2103.53,166.72,69.6,203.76,0.24,440.08,79.36,18
4,,,MB,Blu.Gre,male,a9846,,2093.42,70.96,92.4,276.72,0.96,440.08,213.68,20
5,,,WTA,Pin.Gre,female,a10087,,8.6507,0,0,440.08,439.04,440.08,-,0
6,,,WTA,Ora.Bro,male,a10070,,2279.9,118.8,112.8,208.32,0.32,439.92,39.36,21
1,,,WTA,Red.Bla,female,a10164,,2341.83,164.16,92.56,183.36,0.08,440.08,67.36,21
2,,,WTA,Blu.Blu,female,a10046,,2551.37,135.36,117.68,187.04,0.4,440.08,8.8,27
3,,,WTA,Red.Whi,female,a10172,,2080.57,113.28,119.04,207.76,1.04,440.08,100.8,23
4,,,WTA,Pur.Blu,female,a10079,,2957.08,313.92,71.84,53.44,0.16,439.2,1.04,39
5,,,WTA,Blu._,female,a10039,,2555.16,195.68,60,184.4,0.16,440.08,0,24
6,,,WTA,Bro.Bro,male,a10201,,2332.1,348.32,49.68,42.08,0.24,440.08,1.92,18
1,,,WTA,Gre.Blu,female,a10041,,2164.02,61.52,106.72,271.84,0.08,440.08,110,17
2,,,WTA,Pin.Bla,male,a10092,,1584.58,26.16,47.84,366.08,1.12,440.08,188.24,8
3,,,WTA,Whi.Yel,male,a10157,,1897.59,105.92,107.92,226.24,1.28,440.08,34.88,16
4,,,WTA,Yel._,male,a10095,,2859.48,123.28,117.36,199.44,0.32,440.08,72.24,28
5,,,WTA,Blu.Yel,male,a10055,,2164.39,130.64,85.52,223.92,0.24,440.08,5.52,27
6,,,WTA,Whi.Pur,female,a10158,,256.711,0,0,440.08,303.6,440.08,-,0
1,,,WTA,Pin.Blu,male,a10090,,3144.43,142.24,138.8,159.04,0.24,440.08,54.32,45
2,,,WTA,Pur._,male,a10077,,1657.23,74.56,111.44,254.08,0.8,440.08,39.52,14
