Arena,Date,Day,Group,Mark,Sex,Fish_ID,Notes,tot_dist,high_dur,mid_dur,low_dur,freezing_dur,arena_dur,freq_high,latency_high
1,14/02/2020,Friday,PA,Bla.Pin,male,a9919,water change after every 2 tanks have been run,2477.15,36.72,56.32,340.6,0.28,433.64,30,300.6
2,,,PA,Whi.Bro,female,a9929,,1039.3,4.52,16.32,359.92,0.52,380.76,6,204.28
3,,,PA,Bla.Ora,female,a9887,,1687.59,67.92,144.16,227.96,0.28,440.04,10,146.88
4,,,PA,Gre.Gre,female,a9874,,2341.52,105.64,94.64,234.48,0.12,434.76,39,0
5,,,PA,Ora.Ora,female,a9962,,3142.12,53.32,33.04,353.28,0,439.64,7,352
6,,,PA,Pin.Blu,male,a9960,,1235.61,0,9.08,428.44,104.44,437.52,0,-
1,,,PA,_.Bro,female,a9917,,1678.34,44.16,81.88,310.4,0.16,436.44,9,114.72
2,,,PA,Gre.Ora,female,a9876,,1969.89,37.16,63,339.6,0.16,439.76,9,55.64
3,,,PA,Bla.Red,female,a9921,,1413.86,22.96,11.44,404.92,1.16,439.32,2,182.4
4,,,PA,Ora.Pin,female,a9961,,2497.28,315.48,109.24,14.88,0.04,439.6,42,2.88
5,,,PA,Whi.Whi,male,a9926,,658.686,0,1.32,438.72,25.6,440.04,0,-
6,,,PA,Blu.Bla,male,a9984,,847.159,0,0,439.92,0.84,439.92,0,-
1,,,PA,Pin.Pur,female,a9957,,1278.19,18.64,91.32,300.6,0.4,410.56,17,33.84
2,,,PA,Bla.Gre,female,a9922,,1950.34,7.44,139.32,283,0.16,429.76,8,101.44
3,,,PA,Pin.Red,female,a9958,,1952.7,58.72,137.88,243.4,0.32,440,14,159.64
4,,,PA,_.Gre,male,a9873,,2222.57,158.8,105.52,175.08,0.24,439.4,22,19.64
5,,,PA,Gre.Blu,male,a9881,,2239.33,76.96,99.84,263.24,0.4,440.04,9,247.8
6,,,PA,Gre.Pin,male,a9880,,1449.77,8.88,39.72,391.44,0.32,440.04,3,175.44
1,,,PA,Pin.Yel,male,a9956,,1856.6,68.88,145.8,157.52,0.12,372.2,93,75.56
2,,,PA,Whi.Red,male,a9931,,991.5,0,0,440.04,3.44,440.04,0,-
3,,,WTB,Pin.Red,male,a10089,,2492.86,115.16,87.04,236.24,0.24,438.44,31,27.16
4,,,WTB,Blu.Ora,female,a10059,,1452.88,244.92,95.24,92.4,0.2,432.56,29,0.2
5,,,WTB,_.Blu,female,a10040,,1908.85,26.4,88.64,316.32,0.12,431.36,6,225.48
6,,,WTB,Gre.Pur,male,a10043,,2608.79,57.56,77.16,304.32,0.24,439.04,15,34.2
1,,,WTB,Ora.Ora,female,a10060,no tags on tanks,2109.31,150.16,88.4,127.8,0.04,366.36,188,0
2,,,WTB,Yel.Yel,female,a10097,,2337.73,158.32,71.12,210.32,0.36,439.76,16,0
3,,,WTB,Whi.Ora,female,a10160,,56.6011,0,0,440.04,330.32,440.04,0,-
4,,,WTB,Ora.Pin,female,a10063,,876.676,396.08,27.92,7.68,28.88,431.68,46,0
5,,,WTB,Gre._,male,a10037,,1945.85,29.48,43.52,367.04,0.72,440.04,6,36.6
6,,,WTB,Whi.Pin,female,a10154,,1419.07,40.88,104.12,294.84,0.28,439.84,7,138.4
1,,,WTB,Pur.Pur,female,a10081,,1039.31,24.04,21,322.4,0.2,367.44,18,379.4
2,,,WTB,Whi.Bla,male,a10152,,1115.21,0,0,422.92,15.48,422.92,0,-
3,,,WTB,Pur.Gre,male,a10074,,2101.37,86.16,69.52,282.72,0.08,438.4,17,204.24
4,,,WTB,Pur.Red,female,a10076,,1162.69,74.68,72.36,275.76,2.56,422.8,40,147.16
5,,,WTB,Pin.Bro,male,a10088,,1502.27,51.04,64.76,324.24,5.8,440.04,11,217.44
6,,,WTB,Whi.Bro,female,a10159,,1646.36,149.12,81.8,208.72,0.4,439.64,12,61.72
1,,,WTB,_.Yel,male,a10096,,2849.42,164.08,100.56,174.04,0.44,438.68,34,0
2,,,WTB,Gre.Bro,male,a10044,,2107.6,71,93,271.52,0.72,435.52,24,27.68
3,,,WTB,Red._,male,a10155,,936.371,0,0,307.76,2.28,307.76,0,-
4,,,WTB,Red.Bro,male,a10169,,3055.31,76.72,144.08,219.2,0.04,440,27,31.68
5,,,MA,Bro.Yel,female,a9794,,1247.97,0,0,440.04,0.36,440.04,0,-
6,,,MA,Gre.Whi,female,a9809,,1607.21,326,43.04,71,0.48,440.04,9,67.24
1,,,MA,_.Yel,male,a9764,,2208.4,31.56,120.6,275.6,0.08,427.76,21,135.68
2,,,MA,Red.Yel,female,a9761,,2760.16,182.64,112.6,143.92,0.12,439.16,37,13.76
3,,,MA,Whi.Ora,female,a9839,,173.886,0,0,267.08,85.56,267.08,0,-
4,,,MA,Yel._,male,a9763,,876.528,0,0,397.04,7.84,397.04,0,-
5,,,MA,Red.Gre,female,a9758,,1563.07,47.6,45.88,313.88,0.64,407.36,45,66.16
6,,,MA,Red.Red,male,a9754,,2675.59,41.16,102.64,294.48,0.12,438.28,13,233.44
1,,,MA,Bro.Pin,male,a9793,,2212.29,25.8,80,334.2,0.12,440,11,56.96
2,,,MA,Bro.Gre,female,a9796,,2342.6,88.76,68.6,282.48,0.2,439.84,16,82.72
3,,,MA,_.Bla,male,a9800,,1941.75,0,0,439.12,0.4,439.12,0,-
4,,,MA,Red.Blu,female,a9759,,65.997,0,0,331.6,185.12,331.6,0,-
5,,,MA,Pin.Ora,male,a9858,,2409.53,42.72,79.84,317.2,0.4,439.76,15,192.32
6,,,MA,Gre.Gre,female,a9804,,1731.29,0,0,440,0.64,440,0,-
