Arena,Date,Day,Group,Mark,Sex,Fish_ID,Notes,tot_dist,high_dur,mid_dur,low_dur,freezing_dur,arena_dur,latency_high,freq_high
1,7/02/2020,Friday,WCA,Red.Gre,male,a9680,,2149.51,82.48,96.72,260.88,0.72,440.08,124.56,18
2,7/02/2020,Friday,WCA,Ora.Red,male,a9606,"Jumped, may need to run again",923.249,0,11.92,428.16,2.4,440.08,-,0
3,7/02/2020,Friday,WCA,Whi.Yel,female,a9599,,1962.13,252.8,112,75.28,0.72,440.08,0,20
4,7/02/2020,Friday,WCA,Gre.Bla,male,a9554,,928.362,45.6,36.8,357.68,145.44,440.08,381.2,2
5,7/02/2020,Friday,WCA,Gre.Pur,female,a9556,,2375.08,106.32,142.56,191.2,0.16,440.08,32.32,32
6,7/02/2020,Friday,WCA,Pur.Red,female,a9566,,1887.34,99.44,103.84,236.8,0.24,440.08,81.04,11
1,7/02/2020,Friday,WCA,Pur._,male,a9562,,232.79,0,0,440.08,344.72,440.08,-,0
2,7/02/2020,Friday,WCA,Red.Yel,female,a9678,,1456.09,66.72,51.92,321.44,0.88,440.08,0,7
3,7/02/2020,Friday,WCA,Ora.Gre,female,a9603,,1517.76,95.44,106.8,237.84,0.56,440.08,247.04,14
4,7/02/2020,Friday,WCA,Red.Whi,female,a9679,,1134.51,34.24,26.56,379.28,3.52,440.08,0,8
5,7/02/2020,Friday,WCA,Red.Bla,male,a9676,,602.528,0,0,440.08,208.56,440.08,-,0
6,7/02/2020,Friday,WCA,Red.Pin,female,a9673,,1963.34,67.92,55.68,316.48,1.12,440.08,0,11
1,7/02/2020,Friday,WCA,Gre.Blu,female,a9553,,2187.93,107.12,99.68,233.28,0.4,440.08,74.64,17
2,7/02/2020,Friday,WCA,Ora.Blu,female,a9607,,1876.22,79.92,108,252.16,0.16,440.08,182.56,18
3,7/02/2020,Friday,WCA,Pin.Gre,male,a9588,,1886.37,126.56,136.4,177.12,1.36,440.08,92.08,28
4,7/02/2020,Friday,WCA,Whi.Bla,female,a9598,,1995.07,48.72,78.96,312.4,0.24,440.08,137.84,17
5,7/02/2020,Friday,WCA,Red.Ora,male,a9681,,772.072,0,0,440.08,67.04,440.08,-,0
6,7/02/2020,Friday,WCA,Ora.Ora,male,a9706,,1811.46,60.16,81.28,298.56,0.56,440,187.44,12
