Arena,Date,Day,Group,Mark,Sex,Fish_ID,Notes,tot_dist,high_dur,mid_dur,low_dur,freezing_dur,arena_dur,freq_high,latency_high
2,,,MA,Red.Bro,male,a9760,,2627.36,26.96,84.72,328.4,0.16,440.08,8,226.16
3,,,MA,Gre.Whi,female,a9809,,2594.18,156.48,58.48,225.12,0.32,440.08,19,33.44
4,,,MA,Red.Pur,female,a9762,,2179.42,0,6.56,433.52,0.16,440.08,0,-
5,,,MA,Red.Yel,female,a9761,,1928.17,128.56,80.32,176.32,0.24,385.2,84,28.08
6,,,MA,Bro.Gre,female,a9796,,1663.82,150.56,70.08,169.84,0.56,390.48,75,55.2
7,,,MA,Yel._,male,a9763,,426.163,0,16,399.12,46.4,415.12,0,-
8,,,MA,Gre.Gre,female,a9804,,1061.33,96.48,105.44,152.8,0,354.72,93,143.2
1,,,MA,_.Bla,male,a9800,,2305.45,36.16,73.52,330.4,0.48,440.08,11,295.04
2,,,MA,Bro.Pin,male,a9793,,2471.93,75.92,106.96,257.2,0.16,440.08,16,80.48
3,,,MA,Pin.Ora,male,a9858,,2187.66,68.56,95.28,276.08,0.56,439.92,13,212.16
4,,,MA,_.Gre,male,a9803,,2918.76,62.64,113.28,264.16,0.08,440.08,11,111.2
5,,,MA,Blu.Yel,female,a9845,,1403.18,100.72,83.6,201.36,0.24,385.68,54,120.88
6,,,MA,Red.Blu,female,a9759,,100.358,0,0,437.6,309.52,437.6,0,-
7,,,MA,_.Yel,male,a9764,,1087.97,102.96,77.04,172.96,0.56,352.96,59,106.08
8,,,MA,Red._,female,a9848,,2093.95,126.48,73.44,186.16,0.32,386.08,53,63.84
1,,,WTB,Whi.Bla,male,a10152,wrong label,1697.7,2.72,13.6,422.48,0.24,438.8,1,437.36
2,,,WTB,Pur.Gre,male,a10074,,2624.12,124.72,131.2,184.08,0.08,440,20,73.68
3,,,WTB,Pin.Red,male,a10089,,2522.52,64.32,111.04,264.64,0.16,440,17,24.8
4,,,WTB,Whi.Ora,female,a10160,,2804.92,77.12,104,258.96,0.08,440.08,28,78.64
5,,,WTB,Red.Bro,male,a10169,,2034.09,72.56,88.72,233.84,0,395.12,47,58.56
6,,,WTB,Gre.Pur,male,a10043,,2221.18,38.8,80.4,318.32,0.32,437.52,9,98.72
7,,,WTB,Pin.Bro,male,a10088,,2240.76,92.64,100.16,247.28,0.56,440.08,13,56.56
8,,,WTB,Yel.Yel,female,a10097,,1136.53,112.64,51.68,167.28,0.16,331.6,82,0
1,,,WTB,Pur.Pur,female,a10081,,1022.99,46.8,39.84,324.24,29.76,410.88,19,176.8
2,,,WTB,Ora.Ora,female,a10060,,2771.03,108.64,74.8,247.68,0.08,431.12,39,25.68
3,,,WTB,Whi.Bro,female,a10159,,3746.01,153.2,110.48,176.4,0,440.08,29,10.72
4,,,WTB,Ora.Pin,female,a10063,,2571.27,115.2,148.96,175.92,0.08,440.08,20,0
5,,,WTB,Red._,male,a10155,,1744.51,0,1.76,437.52,0.56,439.28,0,-
6,,,WTB,Gre._,male,a10037,,715.016,0,1.84,437.2,1.68,439.04,0,-
7,,,WTB,Whi.Pin,female,a10154,,1306.72,64.32,86.72,242.16,0.24,393.2,36,73.36
8,,,WTB,Gre.Bro,male,a10044,,1765.99,233.6,66.8,58.88,0.16,359.28,142,0
1,,,WTB,Blu.Ora,female,a10059,,674.097,0,0,439.36,26.96,439.36,0,-
2,,,WTB,_.Yel,male,a10096,,3732.17,209.92,154.96,75.2,0.08,440.08,50,57.76
3,,,WTB,Pur.Red,female,a10076,,2084.37,84.72,102.4,239.04,3.68,426.16,36,25.52
4,,,WTB,_.Blu,female,a10040,,2661.91,31.52,117.84,290.72,0,440.08,20,154.32
5,,,PA,Pin.Red,female,a9958,,1592.57,59.36,74.88,286.72,0.08,420.96,25,95.52
6,,,PA,Bla.Red,female,a9921,,2343.35,78.56,67.12,258.4,0.24,404.08,54,149.52
7,,,PA,Blu.Bla,male,a9984,,2171.91,120.32,85.52,198.8,0.32,404.64,46,31.12
8,,,PA,Bla.Pin,male,a9919,,1433.31,247.76,51.68,54.64,0.32,354.08,161,0
1,,,PA,Bla.Gre,female,a9922,,2466.06,118.56,63.92,244.48,0.16,426.96,37,12.96
2,,,PA,Ora.Pin,female,a9961,,2683.46,75.12,72,292.96,0.08,440.08,14,153.12
3,,,PA,Gre.Pin,male,a9880,,2681.64,36.56,71.6,331.92,1.6,440.08,12,96.08
4,,,PA,_.Bro,female,a9917,,2236.29,47.28,64.64,328.16,0.48,440.08,13,96.4
5,,,PA,Whi.Bro,female,a9929,,643.952,57.76,41.04,179.44,0.08,278.24,69,82.4
6,,,PA,Pin.Yel,male,a9956,,2475.73,36.96,81.36,321.44,0.48,439.76,12,115.84
7,,,PA,Ora.Ora,female,a9962,,1308.37,122.08,81.52,156.96,0.32,360.56,97,53.12
8,,,PA,Bla.Ora,female,a9887,,1322.84,50.72,104.24,248,0.32,402.96,38,140.64
1,,,PA,Gre.Blu,male,a9881,,1992.7,59.84,62.32,317.92,0.72,440.08,9,274.64
2,,,PA,_.Gre,male,a9873,,2799.47,96.56,105.28,238.24,0.24,440.08,23,51.28
3,,,PA,Whi.Red,male,a9931,,165.264,0,0,440.08,154,440.08,0,-
4,,,PA,Gre.Ora,female,a9876,,3356.31,132.56,119.68,187.84,0,440.08,32,78.08
5,,,PA,Gre.Gre,female,a9874,,1098.65,96.72,64.24,174.4,0,335.36,93,129.52
6,,,PA,Whi.Whi,male,a9926,,1550.96,58.08,38.48,342.08,103.6,438.64,13,245.6
7,,,PA,Pin.Pur,female,a9957,,1650.01,230.56,66.56,87.68,0,384.8,144,0
8,,,PA,Pin.Blu,male,a9960,,1459.8,48.72,57.36,293.68,5.76,399.76,27,224.96
