Origin,Mark,Sex,Fish_ID,Glucose,Meter,Photo_ID,Weight,Group
WTC,Red.Ora,female,a10170,2,1,,0.306,Within Treatment
WTC,Red.Ora,female,a10170,2.1,2,,0.306,Within Treatment
WTC,Red.Ora,female,a10170,1.9,3,,0.306,Within Treatment
WTC,Blu.Pin,male,a10053,2.4,1,,0.325,Within Treatment
WTC,Blu.Pin,male,a10053,2.6,2,,0.325,Within Treatment
WTC,Blu.Pin,male,a10053,2.1,3,,0.325,Within Treatment
WTC,_.Ora,female,a10048,3.5,1,,0.631,Within Treatment
WTC,_.Ora,female,a10048,3.2,2,,0.631,Within Treatment
WTC,_.Ora,female,a10048,3.2,3,,0.631,Within Treatment
WTC,Pur.Bro,male,a10075,2.2,1,,0.453,Within Treatment
WTC,Pur.Bro,male,a10075,2.7,2,,0.453,Within Treatment
WTC,Pur.Bro,male,a10075,2.7,3,,0.453,Within Treatment
WTC,Pin.Whi,male,a10091,3.7,1,,0.49,Within Treatment
WTC,Pin.Whi,male,a10091,3.3,2,,0.49,Within Treatment
WTC,Pin.Whi,male,a10091,3.5,3,,0.49,Within Treatment
WTC,Pin.Ora,male,a10094,1.9,1,,0.464,Within Treatment
WTC,Pin.Ora,male,a10094,2,2,,0.464,Within Treatment
WTC,Pin.Ora,male,a10094,2,3,,0.464,Within Treatment
WTC,Gre._,female,a10032,2.3,1,,0.521,Within Treatment
WTC,Gre._,female,a10032,2.3,2,,0.521,Within Treatment
WTC,Gre._,female,a10032,2.3,3,,0.521,Within Treatment
WTC,Pin.Pur,male,a10093,2.3,1,,0.463,Within Treatment
WTC,Pin.Pur,male,a10093,2.7,2,,0.463,Within Treatment
WTC,Pin.Pur,male,a10093,2,3,,0.463,Within Treatment
WTC,Red.Blu,female,a10171,3.6,1,,0.565,Within Treatment
WTC,Red.Blu,female,a10171,3.4,2,,0.565,Within Treatment
WTC,Red.Blu,female,a10171,2.2,3,,0.565,Within Treatment
WTC,Pur.Yel,male,a10073,2.8,1,,0.432,Within Treatment
WTC,Pur.Yel,male,a10073,3.1,2,,0.432,Within Treatment
WTC,Pur.Yel,male,a10073,2.9,3,,0.432,Within Treatment
WTC,Whi.Blu,male,a10161,3.2,3,,0.616,Within Treatment
WTC,_.Red,female,a10162,4.4,1,,0.517,Within Treatment
WTC,_.Red,female,a10162,4.3,2,,0.517,Within Treatment
WTC,_.Red,female,a10162,3.8,3,,0.517,Within Treatment
WTC,Gre.Yel,male,a10038,1.9,1,,0.379,Within Treatment
WTC,Gre.Yel,male,a10038,2.1,2,,0.379,Within Treatment
WTC,Gre.Yel,male,a10038,2.2,3,,0.379,Within Treatment
WTC,Pin.Pin,female,a10085,1.9,1,,0.5,Within Treatment
WTC,Pin.Pin,female,a10085,1.8,2,,0.5,Within Treatment
WTC,Pin.Pin,female,a10085,1.7,3,,0.5,Within Treatment
WTC,Red.Yel,female,a10165,1.7,1,,0.378,Within Treatment
WTC,Gre.Bla,female,a10035,3.2,2,,0.569,Within Treatment
