Mark,Sex,Fish_ID,Tank,Group,Weight_g,Length_cm,Age_Weeks,Set
Pur.Red,female,a9566,WCA,,0.469,,30,Within Control
Blu.Yel,female,a9577,WCA,,0.596,,30,Within Control
Pin.Gre,male,a9588,WCA,,0.413,,30,Within Control
Whi.Yel,female,a9599,WCA,,0.526,,30,Within Control
Ora.Gre,female,a9603,WCA,,0.536,,30,Within Control
Ora.Red,male,a9606,WCA,,0.367,,30,Within Control
Ora.Blu,female,a9607,WCA,,0.637,,30,Within Control
Ora.Whi,male,a9611,WCA,,0.308,,30,Within Control
Red.Pin,female,a9673,WCA,,0.411,,30,Within Control
Red.Bla,male,a9676,WCA,,0.436,,30,Within Control
Red.Yel,female,a9678,WCA,,0.533,,30,Within Control
Red.Whi,female,a9679,WCA,,0.564,,30,Within Control
Red.Ora,male,a9681,WCA,,0.371,,30,Within Control
Ora.Ora,male,a9706,WCA,,0.443,,30,Within Control
Pin.Whi,male,a9590,WCB,,0.344,,30,Within Control
Blu.Blu,male,a9575,WCB,,0.352,,30,Within Control
Blu.Pur,male,a9581,WCB,,0.362,,30,Within Control
Red.Bro,male,a9677,WCB,,0.366,,30,Within Control
Pur.Pin,male,a9686,WCB,,0.378,,30,Within Control
Pin.Yel,male,a9587,WCB,,0.382,,30,Within Control
Ora.Gre,male,a9612,WCB,,0.39,,30,Within Control
Blu.Pur,male,a9581,WCB,,0.406,,30,Within Control
Ora.Bro,male,a9610,WCB,,0.415,,30,Within Control
Pur.Blu,male,a9687,WCB,,0.437,,30,Within Control
Blu.Ora,female,a9583,WCB,,0.445,,30,Within Control
Blu.Bro,female,a9579,WCB,,0.447,,30,Within Control
_.Pur,female,a9605,WCB,,0.465,,30,Within Control
Bro.Bla,female,a9700,WCB,,0.475,,30,Within Control
Yel.Yel,female,a9613,WCB,,0.478,,30,Within Control
Blu.Gre,female,a9578,WCB,,0.484,,30,Within Control
Whi.Ora,female,a9596,WCB,,0.534,,30,Within Control
Blu.Whi,female,a9580,WCB,,0.552,,30,Within Control
Ora.Bla,female,a9608,WCB,,0.561,,30,Within Control
Bro.Gre,female,a9704,WCB,,0.566,,30,Within Control
Pur._,male,a10077,WTA,,0.31,,30,Within Treatment
Blu.Yel,male,a10055,WTA,,0.316,,30,Within Treatment
Yel._,male,a10095,WTA,,0.321,,30,Within Treatment
Ora.Bro,male,a10070,WTA,,0.344,,30,Within Treatment
Pin.Blu,male,a10090,WTA,,0.382,,30,Within Treatment
Bro.Bro,male,a10201,WTA,,0.385,,30,Within Treatment
Whi.Yel,male,a10157,WTA,,0.405,,30,Within Treatment
Red.Pur,male,a10166,WTA,,0.419,,30,Within Treatment
Ora.Red,male,a10064,WTA,,0.426,,30,Within Treatment
Pin.Bla,male,a10092,WTA,,0.45,,30,Within Treatment
Red.Bla,female,a10164,WTA,,0.55,,30,Within Treatment
Pur.Blu,female,a10079,WTA,,0.55,,30,Within Treatment
Gre.Pin,female,a10036,WTA,,0.552,,30,Within Treatment
Red.Whi,female,a10172,WTA,,0.561,,30,Within Treatment
Pin.Gre,female,a10087,WTA,,0.562,,30,Within Treatment
Whi.Pur,female,a10158,WTA,,0.567,,30,Within Treatment
Blu._,female,a10039,WTA,,0.577,,30,Within Treatment
Blu.Blu,female,a10046,WTA,,0.6,,30,Within Treatment
Gre.Gre,female,a10034,WTA,,0.6597,,30,Within Treatment
Gre.Blu,female,a10041,WTA,,0.679,,30,Within Treatment
Gre._,male,a10037,WTB,,0.356,,30,Within Treatment
_.Blu,female,a10040,WTB,,0.565,,30,Within Treatment
Gre.Pur,male,a10043,WTB,,0.337,,30,Within Treatment
Gre.Bro,male,a10044,WTB,,0.395,,30,Within Treatment
Blu.Ora,female,a10059,WTB,,0.668,,30,Within Treatment
Ora.Ora,female,a10060,WTB,,0.751,,30,Within Treatment
Ora.Pin,female,a10063,WTB,,0.643,,30,Within Treatment
Pur.Gre,male,a10074,WTB,,0.462,,30,Within Treatment
Pur.Red,female,a10076,WTB,,0.767,,30,Within Treatment
Pur.Pur,female,a10081,WTB,,0.755,,30,Within Treatment
Pin.Bro,male,a10088,WTB,,0.258,,30,Within Treatment
Pin.Red,male,a10089,WTB,,0.405,,30,Within Treatment
_.Yel,male,a10096,WTB,,0.416,,30,Within Treatment
Yel.Yel,female,a10097,WTB,,0.475,,30,Within Treatment
Whi.Bla,male,a10152,WTB,,0.419,,30,Within Treatment
Whi.Pin,female,a10154,WTB,,0.459,,30,Within Treatment
Red._,male,a10155,WTB,,0.28,,30,Within Treatment
Whi.Bro,female,a10159,WTB,,0.472,,30,Within Treatment
Whi.Ora,female,a10160,WTB,,0.517,,30,Within Treatment
Red.Bro,male,a10169,WTB,,0.412,,30,Within Treatment
